ApplicantYears,AnnualEarnings,RequestedSum,TrustMetric,WorkDuration,ActiveAccounts,OfferRate,RepayPeriod,DebtFactor,OwnsProperty,FamilyObligation,JointApplicant,QualificationLevel_High School,QualificationLevel_Master's,QualificationLevel_PhD,WorkCategory_Part-time,WorkCategory_Self-employed,WorkCategory_Unemployed,RelationshipStatus_Married,RelationshipStatus_Single,FundUseCase_Business,FundUseCase_Education,FundUseCase_Home,FundUseCase_Other,RiskFlag
45,54012,74862,794,35,3,21.31,36,0.16,1,0,0,False,False,True,False,True,False,False,True,False,True,False,False,0
32,81496,145492,313,95,1,14.1,36,0.35,0,1,0,False,False,True,False,True,False,False,True,False,False,False,True,0
34,83889,123288,659,77,4,18.39,24,0.12,0,1,0,False,True,False,False,False,True,True,False,False,False,True,False,0
33,95379,70016,339,17,1,8.25,48,0.63,0,0,0,True,False,False,False,False,False,True,False,False,False,False,True,0
54,125218,190553,566,80,4,21.76,60,0.77,1,1,1,False,False,False,True,False,False,True,False,False,False,False,False,0
42,59588,207240,693,40,2,12.27,60,0.47,0,0,0,False,False,False,False,False,True,True,False,False,False,False,False,0
20,77291,101334,529,105,3,9.96,36,0.36,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,0
64,115199,248862,693,91,4,17.94,12,0.8,0,0,0,False,False,True,True,False,False,True,False,False,True,False,False,0
62,56797,16642,415,98,4,9.82,24,0.34,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,0
62,83505,120167,568,36,3,5.21,24,0.25,1,1,0,True,False,False,False,True,False,True,False,True,False,False,False,0
23,95152,235589,618,26,2,7.13,12,0.47,0,0,0,False,False,True,False,False,True,False,True,True,False,False,False,0
57,140578,146860,683,35,1,23.36,12,0.75,0,0,1,False,False,False,False,False,True,False,False,False,False,True,False,0
59,142338,239319,493,9,4,21.91,12,0.22,0,1,0,True,False,False,False,True,False,True,False,True,False,False,False,0
65,132920,39657,532,69,3,24.21,48,0.61,1,0,0,False,False,False,False,True,False,False,True,False,True,False,False,0
66,140851,194311,606,65,2,17.89,60,0.19,0,1,0,False,True,False,False,False,False,True,False,True,False,False,False,0
28,44164,182935,697,69,1,6.49,36,0.43,1,1,0,False,False,False,False,False,True,True,False,False,True,False,False,0
31,35833,236099,397,114,1,2.95,12,0.27,1,0,1,False,False,True,True,False,False,True,False,False,False,False,False,0
21,143299,133235,844,87,2,8.3,12,0.19,1,0,0,False,False,False,False,True,False,True,False,False,False,False,True,0
62,87426,184677,818,99,1,23.89,24,0.66,1,1,1,False,False,True,False,False,True,True,False,False,False,False,True,0
51,64527,39981,553,21,4,15.5,48,0.15,1,1,1,False,True,False,False,True,False,False,False,False,False,True,False,0
69,78710,155361,602,66,2,14.68,24,0.28,1,0,0,False,False,True,False,False,True,False,True,True,False,False,False,0
23,119307,186894,302,18,4,2.14,12,0.82,1,0,1,True,False,False,True,False,False,True,False,False,False,False,False,0
40,89543,143330,849,37,3,21.42,24,0.14,1,0,1,False,False,True,False,False,False,True,False,False,False,True,False,0
43,56085,40366,823,53,3,24.32,60,0.82,1,1,0,False,False,False,False,False,True,True,False,False,False,True,False,0
59,32836,8402,408,15,1,10.87,24,0.75,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,0
42,72118,219383,623,112,3,4.37,24,0.82,1,1,1,True,False,False,False,True,False,False,False,False,False,True,False,0
61,111259,225013,362,36,3,10.54,12,0.51,0,0,1,True,False,False,False,False,True,True,False,False,False,False,True,0
60,65689,7532,501,7,3,17.34,24,0.2,1,0,0,False,False,False,False,False,False,True,False,True,False,False,False,0
63,126978,234271,745,95,2,7.33,36,0.27,1,1,1,False,True,False,True,False,False,True,False,False,True,False,False,0
57,63413,158968,442,61,1,17.86,48,0.84,0,1,0,False,True,False,False,False,False,False,True,False,True,False,False,0
58,69670,160831,516,87,2,4.66,36,0.57,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,0
33,145010,26216,601,55,1,5.87,24,0.67,1,1,0,True,False,False,True,False,False,True,False,False,False,False,False,0
65,87510,152328,604,77,4,23.09,24,0.13,1,0,1,False,True,False,False,False,False,False,False,False,True,False,False,0
22,46645,82297,664,51,1,24.29,60,0.52,0,1,0,True,False,False,True,False,False,False,True,False,True,False,False,0
38,23333,92691,461,80,1,23.52,36,0.55,0,0,0,True,False,False,False,True,False,False,True,False,False,True,False,0
37,33902,161699,598,4,1,17.85,48,0.44,1,1,1,False,False,False,True,False,False,False,True,False,False,False,True,0
20,119457,14190,759,45,4,19.87,60,0.2,1,1,0,False,True,False,False,True,False,False,True,False,False,False,False,0
26,113094,143840,737,112,3,12.74,24,0.8,0,1,0,False,False,True,False,False,True,True,False,False,False,False,True,0
30,45343,18069,672,45,4,10.04,36,0.8,0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,0
55,83532,63832,560,101,2,9.04,60,0.17,0,0,0,True,False,False,False,False,True,False,True,False,True,False,False,0
64,18585,85337,319,12,2,23.88,60,0.51,1,0,1,False,False,False,False,True,False,False,True,False,False,False,False,0
53,108442,240469,726,78,3,19.28,12,0.15,0,0,0,False,True,False,False,True,False,True,False,False,False,False,False,0
48,112955,241089,386,118,2,23.23,12,0.12,0,0,0,False,True,False,True,False,False,False,False,False,False,True,False,0
69,18135,49124,838,114,4,17.02,24,0.85,0,0,1,False,False,True,True,False,False,False,False,False,False,False,True,0
40,135800,245459,661,30,1,9.44,60,0.41,1,1,1,False,True,False,False,False,True,False,True,True,False,False,False,0
59,68183,87066,718,46,4,13.02,48,0.32,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,0
53,101928,34002,357,93,3,11.93,36,0.48,1,0,0,False,True,False,False,True,False,False,True,False,False,False,True,0
51,41604,214326,312,45,2,22.0,24,0.64,0,0,0,False,False,False,False,False,False,True,False,False,False,True,False,0
33,140564,87365,444,9,2,6.54,60,0.61,0,0,1,True,False,False,False,True,False,False,True,False,True,False,False,0
57,79843,45726,507,52,1,4.75,36,0.12,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,0
57,128672,180456,486,28,3,22.6,12,0.87,1,0,1,False,False,True,True,False,False,False,False,False,False,True,False,0
64,113021,46086,410,110,3,21.85,12,0.24,0,1,1,False,False,True,True,False,False,False,False,False,True,False,False,0
43,29034,48820,410,67,4,9.34,36,0.67,1,1,1,True,False,False,False,False,False,True,False,True,False,False,False,0
39,147247,228051,634,86,4,10.16,60,0.13,1,0,1,False,False,False,False,False,False,False,True,False,False,False,False,0
63,49039,160387,488,23,4,21.75,24,0.75,1,1,0,False,False,False,True,False,False,False,False,False,True,False,False,0
64,51928,29567,571,115,3,3.49,60,0.46,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,0
23,130863,85709,526,52,4,23.09,48,0.57,0,0,1,False,False,False,False,False,True,False,False,False,False,True,False,0
34,143977,74760,760,4,3,8.56,48,0.53,1,0,0,False,False,True,False,True,False,False,True,True,False,False,False,0
47,139043,242062,654,92,2,4.8,36,0.63,0,1,1,False,False,True,False,False,False,True,False,True,False,False,False,0
68,62154,136290,444,27,4,10.07,36,0.61,0,1,1,False,False,True,False,True,False,True,False,False,False,True,False,0
51,64927,114439,752,111,3,3.93,48,0.24,1,0,0,False,False,True,False,True,False,True,False,False,True,False,False,0
60,95443,93686,327,111,2,8.74,12,0.29,1,1,1,False,True,False,False,False,False,False,False,False,False,True,False,0
44,47651,49674,358,75,4,4.2,12,0.14,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,0
19,68151,145725,528,74,3,7.02,24,0.52,1,0,0,False,False,True,False,False,False,False,True,False,False,False,True,0
43,100079,132053,822,23,2,22.07,60,0.7,1,0,0,False,False,True,False,True,False,False,True,False,True,False,False,0
26,95413,108354,732,17,4,3.11,24,0.23,1,1,0,False,False,True,False,False,False,False,True,False,False,True,False,0
25,87832,91877,737,99,4,16.12,24,0.7,1,1,0,False,False,True,False,False,True,False,True,False,False,True,False,0
30,98416,247648,530,106,2,2.92,48,0.82,0,1,0,False,False,False,False,True,False,False,True,False,False,False,True,0
69,143543,154714,812,60,1,10.89,60,0.86,1,1,1,True,False,False,False,True,False,True,False,False,True,False,False,0
43,42895,108176,554,6,3,16.3,24,0.27,0,1,1,False,True,False,False,True,False,False,True,False,False,False,True,0
58,75851,32608,550,116,1,18.31,36,0.31,1,0,0,True,False,False,False,True,False,True,False,False,False,False,False,0
38,144124,159795,673,115,3,10.37,60,0.13,0,0,1,False,False,False,False,False,False,False,True,False,False,False,True,0
29,66589,107085,490,27,4,18.53,60,0.15,0,0,1,False,False,True,False,False,True,True,False,False,False,False,False,0
65,109887,188742,545,12,2,5.42,60,0.59,0,1,0,True,False,False,False,False,True,True,False,False,False,False,False,0
34,148560,71726,425,2,2,11.29,48,0.49,0,0,1,False,False,False,False,True,False,False,True,True,False,False,False,0
67,142691,114123,789,45,4,17.89,48,0.81,0,0,0,True,False,False,False,True,False,True,False,False,False,True,False,0
68,113400,118663,798,65,1,3.26,36,0.59,0,1,0,True,False,False,False,True,False,False,True,True,False,False,False,0
34,75550,111803,337,89,2,5.9,12,0.59,0,1,0,True,False,False,False,False,True,False,True,False,False,True,False,0
42,92896,58514,355,73,4,22.24,60,0.47,1,1,1,False,True,False,False,False,False,False,False,False,False,True,False,0
50,49612,38589,738,82,1,17.36,24,0.88,0,0,0,False,False,True,False,False,False,True,False,True,False,False,False,0
25,50059,106601,449,10,4,20.39,60,0.78,1,1,0,False,False,False,False,False,True,False,True,False,False,False,True,0
20,97359,49739,532,22,1,11.16,12,0.61,1,1,0,False,False,False,True,False,False,True,False,False,True,False,False,0
25,98921,242686,408,62,3,11.19,12,0.51,1,1,1,False,True,False,False,True,False,True,False,True,False,False,False,0
47,106551,58039,627,20,3,13.42,12,0.38,1,0,0,True,False,False,False,False,False,False,True,False,False,True,False,0
19,95919,204545,313,47,1,9.81,24,0.32,1,0,0,True,False,False,False,False,True,False,True,False,False,False,True,0
67,54246,125767,396,40,2,6.54,48,0.54,1,0,0,False,False,False,True,False,False,False,True,False,True,False,False,0
32,44145,108134,774,92,3,3.12,24,0.73,0,1,1,False,True,False,False,True,False,False,True,False,False,False,True,0
66,87837,153656,456,118,3,6.18,12,0.4,0,0,1,False,True,False,False,False,False,True,False,True,False,False,False,0
67,84013,60817,670,86,1,6.76,36,0.28,1,0,0,False,False,False,False,False,True,True,False,False,False,False,True,0
48,110577,166412,613,57,4,20.42,24,0.75,0,1,0,False,False,False,False,False,False,True,False,True,False,False,False,0
40,92427,149072,458,108,2,20.79,12,0.22,1,1,1,False,False,True,False,False,True,False,False,False,False,False,False,0
47,114729,152289,309,98,1,3.84,12,0.8,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,0
31,52033,107294,440,63,4,17.18,60,0.32,0,0,1,False,False,False,True,False,False,False,False,False,True,False,False,0
29,36944,236003,318,25,2,5.05,12,0.58,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,0
31,98856,168269,502,51,4,11.63,12,0.71,0,1,0,False,True,False,True,False,False,True,False,True,False,False,False,0
61,109884,247640,661,14,4,6.03,36,0.5,0,1,0,False,True,False,False,False,True,True,False,False,False,False,True,0
50,47752,136343,354,61,3,8.27,48,0.81,0,0,1,False,False,True,False,False,True,False,False,True,False,False,False,0
56,118614,195693,415,83,4,4.81,60,0.29,1,0,1,False,True,False,False,False,False,False,True,True,False,False,False,0
20,142589,181938,771,13,3,11.27,12,0.77,0,0,1,False,False,False,False,False,True,True,False,True,False,False,False,0
29,128202,159378,342,10,3,5.57,12,0.28,1,0,1,False,False,False,False,True,False,False,False,False,True,False,False,0
48,115783,118062,424,32,3,2.82,48,0.14,0,1,1,False,True,False,True,False,False,False,True,False,False,False,True,0
26,28814,232106,841,60,3,24.5,12,0.24,0,1,0,False,True,False,False,True,False,False,False,True,False,False,False,0
22,108033,184054,499,11,1,16.77,60,0.28,1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,0
58,25062,36843,513,42,1,6.61,12,0.7,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,0
41,84551,77348,803,30,4,3.85,60,0.54,0,1,0,False,False,False,False,True,False,True,False,False,False,False,False,0
30,98983,42951,425,102,3,12.05,36,0.17,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,0
56,122657,43579,741,39,4,13.09,48,0.17,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,0
34,93832,12748,556,87,3,17.67,24,0.14,0,0,0,False,False,True,False,True,False,True,False,False,False,False,True,0
68,29672,153462,741,85,1,4.38,48,0.82,0,0,0,True,False,False,False,True,False,False,True,False,False,True,False,0
37,119089,118019,738,55,2,3.52,48,0.32,1,1,1,True,False,False,False,False,True,True,False,False,True,False,False,0
23,99861,158809,606,115,4,16.86,48,0.89,1,0,1,True,False,False,False,False,True,False,True,False,True,False,False,0
38,71405,36439,507,58,1,10.29,12,0.49,1,0,0,True,False,False,False,True,False,False,False,False,True,False,False,0
30,16566,95907,312,18,1,2.04,36,0.2,0,0,0,False,False,True,False,True,False,True,False,True,False,False,False,0
19,132324,158778,480,94,1,2.55,24,0.8,1,0,1,False,False,False,False,True,False,True,False,True,False,False,False,0
67,125690,141121,477,37,2,2.65,36,0.82,1,1,0,False,False,True,True,False,False,False,False,False,False,True,False,0
38,48472,15106,652,80,3,3.7,60,0.78,1,1,0,False,False,False,True,False,False,True,False,True,False,False,False,0
33,86873,156837,777,75,4,9.67,36,0.49,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,0
46,28782,15610,558,39,4,12.57,48,0.34,1,1,1,False,True,False,False,True,False,True,False,False,False,False,False,0
47,60358,34510,844,51,4,2.7,24,0.45,1,0,1,True,False,False,False,True,False,False,True,False,True,False,False,0
49,136991,47074,548,51,4,3.0,24,0.1,1,0,1,True,False,False,False,True,False,False,True,False,False,True,False,0
28,34235,31773,530,59,2,12.25,12,0.24,0,0,0,False,True,False,False,False,False,False,True,False,True,False,False,0
27,141637,74867,413,55,3,3.37,36,0.58,1,0,0,True,False,False,False,False,True,True,False,False,True,False,False,0
36,39625,96533,430,60,1,24.35,12,0.74,0,1,0,False,True,False,False,False,True,False,True,False,False,False,False,0
60,60445,105751,465,50,3,14.88,24,0.41,0,1,1,True,False,False,False,False,True,False,True,False,False,True,False,0
50,101511,48751,679,22,2,21.61,60,0.45,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,0
57,92089,158897,626,45,2,13.48,60,0.18,1,1,1,False,True,False,False,False,True,False,False,False,True,False,False,0
34,66275,132061,528,104,1,4.79,24,0.46,1,1,0,False,False,True,False,True,False,True,False,False,False,True,False,0
30,127481,205576,397,106,4,5.81,24,0.44,0,1,0,True,False,False,True,False,False,True,False,True,False,False,False,0
20,83228,83050,812,9,1,10.27,48,0.33,1,0,0,False,False,True,True,False,False,False,True,False,True,False,False,0
47,94442,76110,505,6,1,2.01,36,0.74,1,1,1,True,False,False,False,True,False,True,False,False,False,False,False,0
34,82774,44721,831,68,1,12.61,60,0.14,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,0
53,44379,12276,569,71,4,12.02,36,0.32,1,1,0,False,True,False,True,False,False,False,False,False,True,False,False,0
39,116592,241116,413,0,3,14.95,36,0.27,0,1,0,False,True,False,False,False,False,False,True,True,False,False,False,0
25,87916,28615,647,106,1,11.46,24,0.18,1,0,0,False,False,True,True,False,False,False,False,False,False,False,False,0
37,44844,163734,575,50,1,5.66,36,0.11,0,1,1,False,True,False,False,False,True,False,False,False,False,False,False,0
49,132965,231739,786,53,1,6.45,60,0.57,0,1,1,False,False,True,False,False,True,False,False,False,False,False,False,0
32,52581,227791,373,109,4,3.14,12,0.78,0,0,1,True,False,False,False,True,False,True,False,False,False,True,False,0
52,58739,151480,371,98,2,7.87,48,0.76,0,1,1,False,False,True,False,False,True,True,False,False,False,False,False,0
18,64483,74043,486,97,3,6.31,24,0.14,1,1,0,False,False,True,False,False,True,True,False,True,False,False,False,0
43,83316,177919,521,17,3,8.71,36,0.5,1,1,1,False,False,False,False,False,False,False,True,False,False,False,True,0
39,146498,156395,367,111,4,9.04,48,0.54,1,0,0,False,False,True,True,False,False,False,False,False,True,False,False,0
47,37423,66095,609,18,1,2.66,24,0.26,1,1,1,True,False,False,False,False,False,False,False,False,False,True,False,0
65,101323,217961,311,15,1,9.51,24,0.13,0,0,0,False,False,True,False,True,False,False,True,True,False,False,False,0
23,96952,14633,317,62,2,21.01,60,0.32,0,0,1,True,False,False,False,False,True,False,False,False,False,True,False,0
26,71190,206862,765,75,4,24.35,60,0.84,0,0,0,True,False,False,False,False,True,False,False,False,True,False,False,0
31,129402,143237,712,1,4,20.44,48,0.19,0,0,1,True,False,False,False,True,False,False,False,False,False,False,False,0
64,89837,46128,664,26,4,21.66,36,0.58,0,1,1,False,False,True,False,False,True,True,False,False,True,False,False,0
32,128020,234862,591,36,3,4.44,48,0.63,1,0,1,False,False,False,False,False,True,True,False,False,False,True,False,0
67,79944,175703,594,63,3,19.21,12,0.14,1,0,1,False,False,False,False,False,False,False,True,False,True,False,False,0
65,133746,64502,332,98,4,15.15,48,0.84,1,1,1,False,False,True,False,False,True,False,True,False,False,False,True,0
55,34996,28433,385,60,1,20.4,24,0.87,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,0
33,118725,21946,514,19,2,5.14,48,0.47,1,0,1,False,True,False,True,False,False,True,False,False,True,False,False,0
42,18712,140807,733,40,1,18.15,48,0.3,0,1,0,False,True,False,False,False,True,True,False,False,False,False,True,0
27,30294,107327,730,18,3,12.97,36,0.72,0,1,1,False,False,False,False,True,False,False,False,False,False,True,False,0
57,128823,114391,643,25,1,20.17,24,0.65,1,0,1,False,True,False,False,False,True,False,True,False,False,True,False,0
22,93920,145067,842,91,3,6.58,60,0.43,1,1,0,False,False,False,False,True,False,False,True,False,False,False,True,0
58,117669,84145,617,101,3,12.57,60,0.35,0,1,1,False,True,False,False,True,False,True,False,False,False,False,True,0
23,64994,47438,322,1,4,20.3,12,0.61,1,0,1,False,False,True,True,False,False,True,False,False,False,True,False,0
65,71680,93130,684,61,2,5.87,36,0.61,1,1,0,True,False,False,False,True,False,False,True,False,False,False,True,0
46,65642,87851,814,11,1,12.24,60,0.78,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,0
45,94477,86577,652,68,1,4.92,48,0.3,0,1,0,False,True,False,False,True,False,False,False,False,True,False,False,0
57,75274,19936,337,5,3,3.43,48,0.47,1,1,1,False,True,False,False,False,True,False,True,False,False,True,False,0
20,91536,99363,777,25,3,17.61,60,0.82,1,0,1,True,False,False,False,True,False,False,False,False,False,False,False,0
64,49340,234468,680,84,4,20.93,12,0.65,0,0,0,True,False,False,False,True,False,True,False,False,False,True,False,0
54,130243,154110,617,104,3,2.04,60,0.77,1,1,1,False,False,False,False,False,True,False,False,False,False,False,True,0
46,92124,122224,566,108,2,6.93,12,0.58,1,0,0,False,False,True,False,False,True,True,False,True,False,False,False,0
44,46130,205599,316,101,2,12.79,36,0.6,1,0,1,True,False,False,False,False,True,False,True,True,False,False,False,0
52,23929,69990,570,41,3,10.73,12,0.26,0,1,1,False,False,False,False,False,False,False,False,False,False,True,False,0
29,113532,123213,716,23,4,22.73,36,0.37,0,0,0,True,False,False,False,False,False,False,True,False,False,True,False,0
55,48379,28160,616,69,4,7.16,48,0.81,0,1,0,True,False,False,False,True,False,False,True,False,False,True,False,0
35,54905,168661,438,65,4,16.05,60,0.78,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,0
48,135562,5986,751,58,4,19.17,60,0.26,1,1,1,False,False,True,False,True,False,False,False,False,True,False,False,0
32,116567,44265,332,98,4,14.53,48,0.18,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,0
64,93789,160809,811,3,4,2.42,36,0.19,1,1,1,False,False,False,True,False,False,False,False,True,False,False,False,0
58,96849,53276,627,82,3,5.82,12,0.11,0,1,0,True,False,False,False,False,False,False,True,False,False,True,False,0
62,145187,166995,680,49,3,8.78,36,0.41,1,1,0,False,True,False,False,False,True,True,False,False,False,True,False,0
23,116318,218696,635,53,4,12.77,12,0.44,1,0,1,True,False,False,False,False,True,False,False,False,False,True,False,0
47,114025,135564,524,101,3,12.26,36,0.77,1,0,1,False,True,False,False,True,False,False,False,False,False,False,False,0
25,58697,231251,483,17,2,11.66,60,0.75,1,1,1,False,False,True,False,False,False,True,False,True,False,False,False,0
61,70581,138971,821,62,2,15.26,24,0.82,0,1,1,False,False,False,False,True,False,True,False,False,False,True,False,0
43,142114,181452,306,7,4,22.67,24,0.23,1,0,1,False,False,True,False,False,False,True,False,True,False,False,False,0
44,145048,78082,342,3,2,2.48,48,0.53,1,1,1,False,False,True,False,False,False,False,True,False,False,False,True,0
38,87703,148402,810,82,2,10.03,12,0.29,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,0
35,20814,14704,599,38,1,4.62,36,0.66,1,0,0,True,False,False,False,True,False,True,False,False,True,False,False,0
30,102815,218035,447,100,4,24.29,60,0.15,1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,0
56,31796,143276,399,54,4,17.38,48,0.81,1,1,0,False,False,False,False,True,False,False,False,False,False,True,False,0
25,98046,115834,625,92,2,23.72,60,0.33,0,0,1,False,False,False,True,False,False,False,False,False,True,False,False,0
35,112188,5791,303,3,3,5.48,36,0.44,1,1,1,False,False,True,False,False,True,True,False,True,False,False,False,0
20,88299,82940,580,36,1,10.86,36,0.57,0,0,0,False,False,True,False,False,True,True,False,False,False,True,False,0
38,142379,5012,305,90,3,8.34,24,0.7,1,0,1,False,True,False,False,True,False,False,True,True,False,False,False,0
33,124136,183600,449,73,1,12.9,24,0.57,0,0,1,True,False,False,True,False,False,False,True,False,True,False,False,0
29,114678,30795,754,105,2,18.51,12,0.47,0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,0
49,87803,138112,435,68,3,11.75,12,0.49,1,0,1,False,False,False,False,False,True,True,False,True,False,False,False,0
29,95537,233996,319,29,3,24.78,36,0.74,0,0,1,True,False,False,False,False,False,True,False,False,False,False,False,0
61,62205,86719,410,94,4,22.02,12,0.8,1,0,1,True,False,False,False,True,False,True,False,False,False,False,False,0
66,123010,197430,508,7,1,8.65,48,0.14,1,1,0,False,True,False,True,False,False,True,False,False,False,False,True,0
68,91480,249016,668,95,2,22.86,60,0.61,0,0,1,True,False,False,False,False,False,False,True,False,False,True,False,0
18,97220,61812,531,19,3,6.35,60,0.42,1,1,0,False,True,False,False,True,False,False,True,False,False,False,True,0
63,147096,66625,702,72,3,17.27,24,0.25,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,0
68,128411,236043,583,76,3,6.71,36,0.86,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,0
42,68299,18354,442,68,4,12.92,24,0.67,0,1,0,False,True,False,True,False,False,False,False,False,True,False,False,0
53,130031,60981,748,49,3,9.84,48,0.11,0,1,1,False,False,True,False,True,False,False,False,False,False,False,True,0
52,20315,138973,732,113,4,22.89,60,0.39,0,0,0,False,True,False,False,True,False,True,False,False,False,False,False,0
32,143341,199401,761,91,2,11.16,36,0.34,0,1,1,False,True,False,True,False,False,True,False,True,False,False,False,0
48,55034,192612,625,77,3,18.56,60,0.53,1,0,0,False,False,False,True,False,False,True,False,True,False,False,False,0
23,80650,178015,400,110,2,13.75,60,0.86,1,0,0,False,False,True,True,False,False,False,False,True,False,False,False,0
21,19538,89006,510,102,2,6.71,36,0.37,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,0
46,29708,23139,368,93,2,6.83,12,0.54,1,0,0,False,False,False,False,False,False,False,True,False,True,False,False,0
53,37476,209675,560,85,2,16.13,36,0.75,1,1,0,False,True,False,True,False,False,False,True,False,False,False,True,0
34,62700,87005,332,44,4,15.2,60,0.51,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,0
20,26707,35091,338,17,3,10.24,48,0.79,1,1,1,False,True,False,True,False,False,False,True,False,False,True,False,0
59,101520,109264,614,53,3,2.02,24,0.37,1,0,0,False,True,False,False,False,False,False,True,False,False,False,True,0
26,36329,17694,475,7,1,9.14,48,0.16,1,1,0,False,False,True,False,False,True,True,False,True,False,False,False,0
53,87776,124735,502,112,2,3.82,60,0.27,0,0,1,True,False,False,False,False,True,False,True,False,False,False,True,0
